Team,Player ID
25,273
28,529
27,312
26,595
26,198
27,323
28,142
25,187
25,296
28,119
27,14
26,545
26,363
27,357
28,218
25,640
25,173
28,319
27,351
26,643
26,416
27,544
28,470
25,2424
25,568
28,278
27,226
26,128
26,590
27,515
28,563
25,348
25,521
28,272
27,223
26,613
26,115
27,505
28,491
25,1730
25,1094
28,1949
27,97
26,619
26,154
27,231
28,492
25,666
25,2427
28,549
27,87
26,350
26,122
27,353
28,11
25,1425
25,179
28,700
27,74
26,36
26,320
27,485
28,212
25,64
25,503
28,304
27,2027
26,429
26,354
27,325
28,390
25,42
25,1626
28,679
27,333
26,166
26,635
27,271
28,620
25,1068
25,182
28,262
27,500
26,372
26,165
27,431
28,566
25,207
25,509
28,2227
27,675
26,291
26,761
27,537
28,2400
25,168
